#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 1","NZ_LR027880.1",421,1779,"+",61431297,"dnaA","RIL182_RS00005","WP_015521386.1",452,"chromosomal replication initiator protein DnaA"
"chromosome 1","NZ_LR027880.1",2117,3229,"+",61431298,"dnaN","RIL182_RS00010","WP_022113196.1",370,"DNA polymerase III subunit beta"
"chromosome 1","NZ_LR027880.1",3293,3508,"+",61431299,,"RIL182_RS00015","WP_044999175.1",71,"RNA-binding S4 domain-containing protein"
"chromosome 1","NZ_LR027880.1",3505,4611,"+",61431300,"recF","RIL182_RS00020","WP_006857738.1",368,"DNA replication/repair protein RecF"
"chromosome 1","NZ_LR027880.1",4616,6553,"+",61431301,"gyrB","RIL182_RS00025","WP_006857737.1",645,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome 1","NZ_LR027880.1",6643,9267,"+",61431302,"gyrA","RIL182_RS00030","WP_006857736.1",874,"MULTISPECIES: DNA gyrase subunit A"
"chromosome 1","NZ_LR027880.1",9301,10392,"+",61431303,,"RIL182_RS00035","WP_006857735.1",363,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",10624,11352,"+",61431304,,"RIL182_RS00040","WP_006857734.1",242,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",11349,12962,"+",61431305,,"RIL182_RS00045","WP_006857733.1",537,"ABC transporter ATP-binding protein/permease"
"chromosome 1","NZ_LR027880.1",13098,13541,"+",61431306,,"RIL182_RS00050","WP_006857732.1",147,"MULTISPECIES: LytTR family transcriptional regulator"
"chromosome 1","NZ_LR027880.1",13596,14054,"+",61431307,,"RIL182_RS00055","WP_015561059.1",152,"MULTISPECIES: DUF3021 domain-containing protein"
"chromosome 1","NZ_LR027880.1",14197,17064,"+",61431308,,"RIL182_RS00060","WP_006857731.1",955,"glycoside hydrolase family 3 C-terminal domain-containing protein"
"chromosome 1","NZ_LR027880.1",17320,18186,"+",61431309,,"RIL182_RS00065","WP_006857730.1",288,"Rossmann-like and DUF2520 domain-containing protein"
"chromosome 1","NZ_LR027880.1",18264,19091,"+",61431310,"panB","RIL182_RS00075","WP_044999173.1",275,"3-methyl-2-oxobutanoate hydroxymethyltransferase"
"chromosome 1","NZ_LR027880.1",19105,19950,"+",61431311,"panC","RIL182_RS00080","WP_006857729.1",281,"pantoate--beta-alanine ligase"
"chromosome 1","NZ_LR027880.1",19964,20356,"+",61431312,,"RIL182_RS00085","WP_022111768.1",130,"aspartate 1-decarboxylase"
"chromosome 1","NZ_LR027880.1",20578,21669,"+",61431313,,"RIL182_RS00090","WP_242655585.1",363,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",21715,22560,"+",61431314,,"RIL182_RS00095","WP_006857727.1",281,"fumarate hydratase"
"chromosome 1","NZ_LR027880.1",22648,23199,"+",61431315,,"RIL182_RS00100","WP_044999171.1",183,"Fe-S-containing hydro-lyase"
"chromosome 1","NZ_LR027880.1",23285,24346,"+",61431316,,"RIL182_RS00105","WP_006857726.1",353,"Gfo/Idh/MocA family oxidoreductase"
"chromosome 1","NZ_LR027880.1",30832,32892,"+",61431324,,"RIL182_RS00145","WP_242655564.1",686,"methyl-accepting chemotaxis protein"
"chromosome 1","NZ_LR027880.1",33073,33381,"-",61431325,,"RIL182_RS00150","WP_006857165.1",102,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",33368,34417,"-",61431326,,"RIL182_RS00155","WP_006857164.1",349,"IS30 family transposase"
"chromosome 1","NZ_LR027880.1",35486,35803,"-",61431328,,"RIL182_RS00165","WP_006857162.1",105,"DUF3847 domain-containing protein"
"chromosome 1","NZ_LR027880.1",36077,36295,"-",61431329,,"RIL182_RS00170","WP_006857161.1",72,"phosphoribosylglycinamide formyltransferase"
"chromosome 1","NZ_LR027880.1",36295,36648,"-",61435372,,"RIL182_RS21035","WP_006857194.1",117,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",36717,38075,"-",61431330,,"RIL182_RS00180","WP_134522966.1",452,"phage/plasmid primase, P4 family"
"chromosome 1","NZ_LR027880.1",38072,38557,"-",61431331,,"RIL182_RS00185","WP_006857158.1",161,"CHC2 zinc finger domain-containing protein"
"chromosome 1","NZ_LR027880.1",38688,39809,"+",61431332,,"RIL182_RS00190","WP_006857157.1",373,"DUF6076 domain-containing protein"
"chromosome 1","NZ_LR027880.1",39890,40729,"+",61435373,,"RIL182_RS21040","WP_006857193.1",279,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",40840,41268,"+",61431333,,"RIL182_RS00200","WP_006857156.1",142,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",41269,42585,"-",61431334,,"RIL182_RS00205","WP_006857155.1",438,"sensor histidine kinase"
"chromosome 1","NZ_LR027880.1",42585,43307,"-",61431335,,"RIL182_RS00210","WP_006857154.1",240,"LytTR family DNA-binding domain-containing protein"
"chromosome 1","NZ_LR027880.1",43513,43857,"+",61431336,,"RIL182_RS00215","WP_243128754.1",114,"response regulator"
"chromosome 1","NZ_LR027880.1",43908,45971,"+",61431337,,"RIL182_RS00220","WP_006857153.1",687,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",46322,46546,"+",61431338,,"RIL182_RS00230","WP_006857151.1",74,"hypothetical protein"
"chromosome 1","NZ_LR027880.1",46670,47068,"+",61431339,,"RIL182_RS00235","WP_006857150.1",132,"TetR/AcrR family transcriptional regulator"
"chromosome 1","NZ_LR027880.1",47172,48545,"+",61431340,,"RIL182_RS00240","WP_015561501.1",457,"DUF1254 domain-containing protein"
